date,target_pm25,neighbor_avg_pm25,temperature,humidity,wind_speed
2023-06-27,35.9,40.7,32.7,84.6,19.4
2023-06-28,42.1,44.3,31.8,85.4,8.0
2023-06-29,42.3,50.0,33.0,75.0,19.3
2023-06-30,40.8,39.2,34.3,89.6,19.9
2023-07-01,44.8,48.3,31.6,86.7,15.7
2023-07-02,31.3,38.6,31.6,89.9,19.7
2023-07-03,51.0,53.4,34.3,70.4,13.5
2023-07-04,44.2,43.1,33.1,95.3,8.9
2023-07-05,49.7,50.2,31.3,84.2,11.6
2023-07-06,36.6,38.2,32.8,90.4,13.9
2023-07-07,45.1,44.1,31.2,79.6,6.1
2023-07-08,40.6,43.0,31.2,87.8,14.3
2023-07-09,36.6,45.1,32.3,79.4,19.7
2023-07-10,51.5,51.3,29.0,81.5,7.9
2023-07-11,35.6,37.5,29.3,94.1,16.9
2023-07-12,42.3,47.5,31.0,83.5,18.6
2023-07-13,39.6,42.9,30.3,85.5,19.2
2023-07-14,34.4,34.3,32.3,88.7,19.4
2023-07-15,44.3,46.6,30.4,86.8,12.8
2023-07-16,33.4,37.0,29.7,85.0,19.7
2023-07-17,50.0,56.2,34.0,85.9,16.4
2023-07-18,31.1,29.7,31.4,96.0,7.4
2023-07-19,45.3,50.7,31.8,83.6,12.2
2023-07-20,30.1,32.9,29.6,84.8,15.8
2023-07-21,43.0,41.4,30.8,89.0,8.7
2023-07-22,39.0,37.9,31.8,89.2,14.6
2023-07-23,46.6,55.4,29.9,89.5,15.0
2023-07-24,41.9,42.9,32.1,86.6,7.4
2023-07-25,47.9,53.4,30.6,77.6,13.5
2023-07-26,31.6,29.8,31.1,91.3,16.6
2023-07-27,48.8,59.2,30.6,77.3,12.5
2023-07-28,44.8,48.5,34.2,84.4,5.2
2023-07-29,48.0,48.3,31.4,79.0,5.1
2023-07-30,41.4,42.6,29.8,82.3,10.4
2023-07-31,42.4,48.4,32.6,84.1,18.9
2023-08-01,49.7,53.5,29.5,84.0,8.4
2023-08-02,41.5,45.0,31.6,84.3,14.5
2023-08-03,37.8,39.5,28.3,90.1,8.3
2023-08-04,39.3,42.9,29.2,84.2,9.8
2023-08-05,31.7,30.0,31.4,80.5,17.7
2023-08-06,26.3,28.4,32.2,86.4,15.9
2023-08-07,51.2,47.6,31.3,87.4,6.4
2023-08-08,40.4,44.5,30.8,75.1,11.4
2023-08-09,44.1,43.1,30.5,84.1,5.4
2023-08-10,47.6,45.4,28.7,84.4,12.2
2023-08-11,35.9,36.6,29.8,79.2,14.9
2023-08-12,39.7,41.5,30.1,87.4,6.8
2023-08-13,41.3,42.6,32.3,79.6,9.3
2023-08-14,35.2,33.8,31.2,80.8,11.0
2023-08-15,36.3,34.9,28.0,79.1,18.8
2023-08-16,31.5,35.7,31.1,79.9,19.9
2023-08-17,42.6,42.0,30.0,74.1,5.7
2023-08-18,33.6,36.1,29.5,72.2,16.4
2023-08-19,39.0,40.6,31.4,87.2,10.6
2023-08-20,40.7,44.2,31.9,74.7,10.9
2023-08-21,33.2,39.0,31.7,73.8,16.3
2023-08-22,32.4,36.6,29.0,67.8,18.8
2023-08-23,32.5,35.4,29.8,75.1,19.3
2023-08-24,36.6,39.4,30.7,71.5,13.7
2023-08-25,38.6,39.6,31.6,86.1,10.4
2023-08-26,29.9,28.4,29.3,82.7,16.8
2023-08-27,45.4,50.4,29.7,74.0,8.8
2023-08-28,35.4,40.8,28.3,88.5,13.5
2023-08-29,35.2,43.3,28.1,81.9,10.4
2023-08-30,36.3,46.1,31.0,75.2,14.8
2023-08-31,40.0,38.2,31.8,64.1,8.6
2023-09-01,29.7,30.2,29.6,87.8,7.9
2023-09-02,32.9,44.2,31.1,69.1,18.8
2023-09-03,35.7,36.9,30.1,67.6,6.5
2023-09-04,39.0,42.3,28.5,80.7,12.6
2023-09-05,35.6,32.7,30.0,87.6,8.3
2023-09-06,43.1,44.7,31.7,82.0,5.6
2023-09-07,36.2,43.1,29.2,77.7,5.5
2023-09-08,37.7,43.1,31.6,77.6,7.6
2023-09-09,34.7,36.5,25.2,78.7,18.0
2023-09-10,34.0,34.7,30.3,77.9,9.2
2023-09-11,24.3,24.8,29.2,75.3,19.3
2023-09-12,34.8,35.0,28.5,74.2,13.7
2023-09-13,36.2,32.8,29.0,73.1,11.5
2023-09-14,28.5,31.0,25.9,69.4,13.7
2023-09-15,21.6,28.6,28.4,71.5,12.8
2023-09-16,25.9,30.2,29.2,64.2,16.4
2023-09-17,36.9,42.9,30.9,71.9,9.2
2023-09-18,28.9,34.2,27.8,67.2,10.3
2023-09-19,25.9,28.0,27.3,66.3,18.4
2023-09-20,21.1,22.7,27.7,72.5,19.2
2023-09-21,14.4,15.9,29.7,78.3,18.4
2023-09-22,26.3,23.4,28.8,75.7,11.3
2023-09-23,29.5,33.0,27.4,63.0,16.7
2023-09-24,17.3,11.0,28.9,65.6,12.1
2023-09-25,28.8,33.1,28.2,75.0,12.5
2023-09-26,25.8,27.6,29.5,65.2,8.1
2023-09-27,29.3,33.5,26.9,68.7,13.9
2023-09-28,34.0,38.7,27.4,72.3,7.8
2023-09-29,28.2,30.8,27.2,64.4,10.0
2023-09-30,21.0,29.5,25.5,69.6,17.8
2023-10-01,25.9,29.4,28.1,62.1,8.1
2023-10-02,24.1,23.0,28.0,65.5,6.1
2023-10-03,38.5,39.0,27.5,69.9,6.0
2023-10-04,15.8,12.8,27.1,60.0,19.1
2023-10-05,31.8,31.6,25.3,70.0,12.6
2023-10-06,20.6,21.7,26.7,67.4,11.1
2023-10-07,22.0,27.1,26.7,70.0,17.2
2023-10-08,13.2,14.5,26.0,68.1,17.5
2023-10-09,26.6,24.8,26.9,73.6,10.0
2023-10-10,18.2,15.6,27.7,67.1,15.4
2023-10-11,17.2,18.8,29.8,64.1,16.6
2023-10-12,22.6,31.4,27.2,66.6,14.8
2023-10-13,22.6,24.9,27.2,68.5,7.3
2023-10-14,9.0,15.4,26.7,65.7,18.1
2023-10-15,23.5,23.5,23.9,65.4,13.1
2023-10-16,17.0,14.2,26.6,61.5,9.2
2023-10-17,23.2,21.8,26.7,61.4,11.4
2023-10-18,30.1,30.9,30.2,57.5,5.6
